optimizer,lr,seed,test_acc,macro_f1,roc_auc,best_epoch,conv_ep_90,diverged,train_time_sec
SGD,0.0001,42,0.24345679012345678,0.12395061974617894,0.7743202641471403,100,,False,96.32546591758728
SGD,0.0001,123,0.2708641975308642,0.17040169259433896,0.7776440465860419,100,,False,95.88209271430969
SGD,0.0001,456,0.24098765432098765,0.11997001467121662,0.7689941296296295,100,,False,96.46388506889343
SGD,0.001,42,0.7501234567901235,0.7335083230691593,0.9658924763416479,97,,False,96.50249242782593
SGD,0.001,123,0.7488888888888889,0.7415871910805776,0.9644953391786343,100,,False,95.89017391204834
SGD,0.001,456,0.7358024691358025,0.7262231889027413,0.9617636775006299,98,,False,95.71993327140808
SGD,0.01,42,0.9158024691358024,0.9128904586564863,0.9952548711514234,100,77.0,False,95.88875818252563
SGD,0.01,123,0.9187654320987654,0.914457548594819,0.9954487655832704,96,80.0,False,96.39822196960449
SGD,0.01,456,0.9148148148148149,0.9118688306074866,0.994824200755858,93,80.0,False,96.37452268600464
SGD_Momentum,0.0001,42,0.7575308641975309,0.7444364755808357,0.9662503556563365,99,,False,97.2258186340332
SGD_Momentum,0.0001,123,0.7558024691358025,0.7438807645715589,0.9652074107331821,100,,False,96.96588635444641
SGD_Momentum,0.0001,456,0.7483950617283951,0.7345744111436039,0.9637067862937766,100,,False,96.85741329193115
SGD_Momentum,0.001,42,0.9222222222222223,0.9190591545289241,0.9957187799445704,99,70.0,False,96.28958177566528
SGD_Momentum,0.001,123,0.9276543209876543,0.9249621177073722,0.996319232451499,98,71.0,False,97.3267514705658
SGD_Momentum,0.001,456,0.9224691358024691,0.9195508472970356,0.9956781982867222,100,72.0,False,97.25083231925964
SGD_Momentum,0.01,42,0.9476543209876543,0.9465159116580922,0.9978511410430839,30,15.0,False,96.83874106407166
SGD_Momentum,0.01,123,0.9607407407407408,0.9598207209529062,0.9985029222474175,56,14.0,False,97.532963514328
SGD_Momentum,0.01,456,0.9553086419753086,0.9536395979688438,0.9982101966238348,34,13.0,False,98.08097290992737
NAG,0.0001,42,0.7567901234567901,0.7415762170422456,0.9659185778281681,100,,False,97.6699275970459
NAG,0.0001,123,0.7555555555555555,0.7464736760308721,0.9653456765432098,100,,False,98.14110159873962
NAG,0.0001,456,0.7503703703703704,0.7368309012044201,0.9640322251952632,100,,False,97.99350833892822
NAG,0.001,42,0.9204938271604939,0.91780022049549,0.9952717867976822,87,67.0,False,97.90628170967102
NAG,0.001,123,0.92,0.9174541374833209,0.9958120329554043,90,70.0,False,97.83936619758606
NAG,0.001,456,0.9237037037037037,0.9201437999391766,0.9960375202317964,97,77.0,False,97.63852381706238
NAG,0.01,42,0.9491358024691358,0.9477249368206719,0.9979759504661125,41,12.0,False,98.16347336769104
NAG,0.01,123,0.9533333333333334,0.9517119481206292,0.9979166924918117,37,13.0,False,97.8185806274414
NAG,0.01,456,0.9614814814814815,0.960672575763138,0.9986766854623331,50,15.0,False,97.3523817062378
Adam,0.0001,42,0.9138271604938272,0.9102076921966212,0.9948316860670193,90,80.0,False,99.52103996276855
Adam,0.0001,123,0.9120987654320988,0.9088066750066996,0.9952386133030989,98,74.0,False,99.83785271644592
Adam,0.0001,456,0.9180246913580247,0.914969518941436,0.9952602779541447,100,70.0,False,99.69673490524292
Adam,0.001,42,0.9553086419753086,0.9545122130337257,0.9977750916099775,30,10.0,False,101.76625180244446
Adam,0.001,123,0.9506172839506173,0.9493707801805268,0.9980082828420256,29,10.0,False,100.80605602264404
Adam,0.001,456,0.9590123456790124,0.9580823012374873,0.9980593050138575,34,10.0,False,100.27538657188416
Adam,0.01,42,0.8039506172839506,0.7935770082913491,0.9773387533887629,65,,False,100.80107855796814
Adam,0.01,123,0.8138271604938272,0.8089989689759797,0.9810074725623584,17,,False,100.28478956222534
Adam,0.01,456,0.1111111111111111,0.02,0.5,15,,False,100.81260752677917
Adagrad,0.0001,42,0.64,0.6254404559734463,0.9275113487024438,100,,False,98.42258667945862
Adagrad,0.0001,123,0.6434567901234568,0.6264558647683598,0.9307601679012345,100,,False,98.1650128364563
Adagrad,0.0001,456,0.6281481481481481,0.6104953268045239,0.9243138039304611,100,,False,97.82645416259766
Adagrad,0.001,42,0.8091358024691359,0.7990491567429958,0.9776388696397078,97,,False,97.89737939834595
Adagrad,0.001,123,0.8079012345679012,0.7992940966398958,0.9778141359032502,100,,False,97.99139666557312
Adagrad,0.001,456,0.8046913580246914,0.794122385903532,0.9775689199798437,100,,False,98.86947011947632
Adagrad,0.01,42,0.9464197530864198,0.9439249290169917,0.997447104610733,97,25.0,False,98.54735493659973
Adagrad,0.01,123,0.9498765432098766,0.9477157640585094,0.9976491524817336,87,18.0,False,99.06730008125305
Adagrad,0.01,456,0.9451851851851852,0.9431297900597798,0.9978228429327286,88,20.0,False,100.04801225662231
RMSProp,0.0001,42,0.9111111111111111,0.9071870760643078,0.994927027462837,91,80.0,False,98.23157906532288
RMSProp,0.0001,123,0.9158024691358024,0.9123804482913066,0.9947537699168556,96,80.0,False,98.0839991569519
RMSProp,0.0001,456,0.914320987654321,0.910978584261539,0.9945455825648779,98,83.0,False,98.40482020378113
RMSProp,0.001,42,0.9498765432098766,0.9483711354467775,0.9981038820861677,29,17.0,False,99.78329110145569
RMSProp,0.001,123,0.9560493827160493,0.9547648404454401,0.9984328575711767,38,14.0,False,99.90895295143127
RMSProp,0.001,456,0.9498765432098766,0.9483222669870262,0.9982560164273118,20,11.0,False,99.4085738658905
RMSProp,0.01,42,0.7980246913580247,0.7908845022330766,0.9766474392038298,17,,False,99.28855919837952
RMSProp,0.01,123,0.7762962962962963,0.7698625356870715,0.972042091962711,14,,False,99.02746224403381
RMSProp,0.01,456,0.7595061728395062,0.7439228332649934,0.9733424362811791,12,,False,98.87013578414917
